,P_STATUS,P_MASS,P_MASS_ERROR_MIN,P_MASS_ERROR_MAX,P_RADIUS,P_RADIUS_ERROR_MIN,P_RADIUS_ERROR_MAX,P_YEAR,P_PERIOD,P_PERIOD_ERROR_MIN,P_PERIOD_ERROR_MAX,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_ERROR_MIN,P_SEMI_MAJOR_AXIS_ERROR_MAX,P_ECCENTRICITY,P_ECCENTRICITY_ERROR_MIN,P_ECCENTRICITY_ERROR_MAX,P_INCLINATION,P_INCLINATION_ERROR_MIN,P_INCLINATION_ERROR_MAX,P_ANGULAR_DISTANCE,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_ERROR_MIN,P_IMPACT_PARAMETER_ERROR_MAX,S_RA,S_DEC,S_MAG,S_DISTANCE,S_DISTANCE_ERROR_MIN,S_DISTANCE_ERROR_MAX,S_METALLICITY,S_METALLICITY_ERROR_MIN,S_METALLICITY_ERROR_MAX,S_MASS,S_MASS_ERROR_MIN,S_MASS_ERROR_MAX,S_RADIUS,S_RADIUS_ERROR_MIN,S_RADIUS_ERROR_MAX,S_AGE,S_AGE_ERROR_MIN,S_AGE_ERROR_MAX,S_TEMPERATURE,S_TEMPERATURE_ERROR_MIN,S_TEMPERATURE_ERROR_MAX,S_LOG_G,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,S_RADIUS_EST,S_RA_H,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_ESI,P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST
P_STATUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_MASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_MASS_ERROR_MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_MASS_ERROR_MAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_RADIUS,,,,,1.0,-0.34094556847179325,0.2957760654323861,-0.029845934022126278,0.24269775227932605,-0.10566739074360983,0.1021136641852981,0.13188372519587915,,,,,,,,,0.03651143526647283,,,,-0.08451708154791203,-0.10190603429815032,-0.046652883078503134,0.10926522107029701,-0.005449771995880069,-0.006440885685442815,0.006098817459922141,0.017793992824070997,-0.029042957161132678,0.08091322035455961,-0.03901161829574957,0.05869856385141597,0.15229385682417923,-0.002852593319531866,0.015000480401956071,,,,0.090303165342908,0.0008097429818582964,-0.00017015621065659718,-0.13848731249037027,,0.27351414782214223,0.26950906921228907,0.28391080489931353,0.2741993141919665,-0.13698467377767864,-0.1390160889935583,-0.14298170666020196,-0.1724797257979126,-0.17555175826100983,-0.16605554998435487,0.15451522418686478,-0.08451708102939433,0.1131962972159759,0.1585115126879375,0.1569881226114946,0.1585127858064688,0.1569881817939467,0.15854268125312704,0.1569881817939467,0.15852040202936035,0.1569881817939467,0.1569524400805532,0.052630064326389406,0.04994431211534661,,,-0.2968314508224145,0.27203491465661905,0.12399194082087467,0.27487108992303266
P_RADIUS_ERROR_MIN,,,,,-0.34094556847179325,1.0,-0.6860466297193085,0.11045322216706577,-0.07305551359392816,0.005861450672968935,-0.010611959218690454,0.06320217397044679,,,,,,,,,0.2314238528734023,,,,-0.013567069224620547,0.021900021421463037,-0.05445265759589971,-0.26949448816786853,0.07338216713728495,-0.041685135385680534,-0.0613280488025242,0.03647040939685898,-0.018234685618712453,-0.19106370169477407,0.2067117569404023,-0.204569908436194,-0.26745582525528333,0.31174434207132484,-0.3126841768295411,,,,-0.24442691585937792,0.23741491241168325,-0.17373304261204506,0.23494286381340077,,-0.08400853633458026,-0.08805105399355376,-0.09056062020244261,-0.08737730375204325,-0.054445647527773255,-0.049208732151241996,-0.06254323295901132,-0.0908200041001641,-0.08979503860173461,-0.09375876421829735,-0.2709156504729735,-0.013567070387581589,-0.23021555264277932,-0.26405134372454914,-0.2628059742486085,-0.2640509866113771,-0.2628060412970158,-0.26403084992803855,-0.2628060412970158,-0.2640498001421375,-0.2628060412970158,-0.260884397756862,-0.15112294417274325,-0.10952043345912314,,,0.19629602318244097,-0.21837167779898842,-0.1525161509489892,-0.08750986193525387
P_RADIUS_ERROR_MAX,,,,,0.2957760654323861,-0.6860466297193085,1.0,-0.07080239678184841,0.06862078554929144,0.02887159433517504,-0.028556430269594556,-0.004697099409151688,,,,,,,,,-0.19419634890104148,,,,0.0007068927100171318,-0.025935672306592245,0.04571300165675635,0.32804882768393573,-0.1464594338560572,0.06394426123942994,0.0873939311874817,-0.11991646271380264,0.08247825634597639,0.2522760457996998,-0.2718961615673346,0.25340386259821274,0.2726637657235974,-0.3149604073081138,0.4175749483813136,,,,0.31127216076757225,-0.31058711622945673,0.1929433144319202,-0.25749083585746163,,0.07498249877137489,0.08240529780434402,0.08045619832327962,0.07874063746276456,0.055727282984744816,0.053010927321010724,0.0675970322547153,0.0938043860219004,0.09577377753909193,0.09511227543241525,0.27797972933924686,0.0007068940261943524,0.2636351472607676,0.29800109909926564,0.295159051385988,0.2979999486628564,0.295159221779611,0.29793950586458057,0.295159221779611,0.29799560854679785,0.295159221779611,0.2973205235973297,0.2509022244309395,0.12938382078178082,,,-0.15238720701217046,0.20869144885553045,0.12939893115925788,0.07895102629631011
P_YEAR,,,,,-0.029845934022126278,0.11045322216706577,-0.07080239678184841,1.0,-0.05962039896776667,-0.09791856099600495,0.11292314154882668,-0.038065368743932335,,,,,,,,,0.18197491703483587,,,,-0.1582719183214169,-0.2564900644839153,-0.08617088377803685,-0.15914916533188272,-0.01644861445252519,0.00942536711646261,-0.032304541452792504,-0.046562964011673647,0.033077539716275625,-0.061918858124632006,0.09909466356869341,-0.10016377394579504,-0.06631617255572489,0.16142608769389058,-0.17415277202913784,,,,0.005924832091245816,0.2526059691766029,-0.1670474052056255,0.016473887320627,,-0.03929356957004237,-0.05206529036119621,-0.03576001023490479,-0.04056796412067021,-0.02802270804740984,-0.015113531427502715,-0.013754891912346816,0.008988585151520144,0.007660661378734188,0.018467882477955253,-0.06623632548082041,-0.1582719224825063,-0.07200272838991373,-0.06867612024358817,-0.06829804620407737,-0.068676460944813,-0.06829803613894117,-0.06868914312661083,-0.06829803613894117,-0.06867814810559507,-0.06829803613894117,-0.06742002328936164,-0.030253221443502693,-0.05882633812031821,,,0.005632730480838856,-0.009458704000857434,-0.03394646290109025,-0.040820834991315655
P_PERIOD,,,,,0.24269775227932605,-0.07305551359392816,0.06862078554929144,-0.05962039896776667,1.0,-0.26679604563285947,0.2573766405131473,0.4256826711396292,,,,,,,,,0.20543805095785653,,,,0.07747573954542794,0.12262662712370366,0.034953673024081096,0.10727064788637185,-0.060694913777867836,0.06668052675870505,-0.03514470126197445,-0.07099408748320221,0.07297948825545258,-0.012032223260437323,-0.054659766797605355,0.034734089308456825,0.008091575415672004,-0.07373800107113816,0.08897613522810927,,,,0.03122182711327635,-0.054750664265415465,0.02608201349681024,-0.00013676435866062146,,0.7043157871762229,0.6868962951810369,0.7298074270763335,0.7018313863751557,-0.32894955237663914,-0.3288287994380792,-0.3227305859729179,-0.4219931150054839,-0.4180271069275964,-0.4225707643048645,0.00743525779050444,0.07747574159023117,0.02348606285506209,0.019559877429139328,0.019026127989145544,0.01956001307568885,0.019026183274605018,0.019555607751936994,0.019026183274605018,0.019561450604822974,0.019026183274605018,0.022899259768467146,0.04963438313325972,-0.016140570111586927,,,0.11195871100359615,-0.12618460372856105,-0.0868378349962245,0.7030748408155514
P_PERIOD_ERROR_MIN,,,,,-0.10566739074360983,0.005861450672968935,0.02887159433517504,-0.09791856099600495,-0.26679604563285947,1.0,-0.9190828808865839,-0.09181435378333433,,,,,,,,,-0.1813559006695495,,,,0.04360438588614677,0.04138438827748973,-0.004258208690211427,0.018602190179794455,-0.04380884344199313,0.03377032362742779,0.04880328892245667,-0.04584987284974557,0.030447597215215005,0.07615854526280122,-0.04441700814938244,0.046201726331905696,0.06081240661614624,-0.01672733112381793,0.03989055005624212,,,,0.031733994994631705,-0.031850878061909234,0.017771664079036464,-0.050198355515592215,,-0.3148662973307509,-0.29000946980353703,-0.326848973035146,-0.310225188617685,0.1559661013863269,0.15656196969928002,0.15257954968200788,0.22620936111338896,0.2250889182864605,0.2271381197758757,0.061483576601511165,0.04360438673890963,0.039819047623305445,0.05822177481800689,0.05953220060663597,0.058221765754976076,0.059532265713041765,0.05821423113961794,0.059532265713041765,0.058222095625404695,0.059532265713041765,0.05525011748220705,0.04407437328966516,0.045162820825889495,,,-0.09610450629831967,0.15086605539931058,0.07283872223798084,-0.3114827303797464
P_PERIOD_ERROR_MAX,,,,,0.1021136641852981,-0.010611959218690454,-0.028556430269594556,0.11292314154882668,0.2573766405131473,-0.9190828808865839,1.0,0.07851486046536997,,,,,,,,,0.16949516701590556,,,,-0.05491249587314736,-0.05147592520678472,0.0037800099399396187,-0.022766393038926556,0.0472539920215487,-0.03741221079510177,-0.06110778754543081,0.05154897353572946,-0.039917399858434406,-0.08583305049988235,0.04277472480871213,-0.054436236611755326,-0.0714229637638239,0.017793150629648688,-0.03527182990663768,,,,-0.044648216969005526,0.03668427561561448,-0.0229706596791092,0.056031038563806125,,0.2978386375403957,0.27417328836764915,0.31165732213003006,0.29410993585974954,-0.15287453532959552,-0.15332960411142832,-0.1495675312607213,-0.22027640336601598,-0.21915908154013924,-0.22176918969738352,-0.07196738028675291,-0.05491249609404676,-0.04469384632572899,-0.06820180280190152,-0.06917911484051978,-0.06820162870714837,-0.06917921706301221,-0.06818569290993107,-0.06917921706301221,-0.0682012715791916,-0.06917921706301221,-0.06575914644360878,-0.059132720668487376,-0.049939450380652665,,,0.10055679777105168,-0.15274979633281338,-0.06996475601493529,0.2953646358294129
P_SEMI_MAJOR_AXIS,,,,,0.13188372519587915,0.06320217397044679,-0.004697099409151688,-0.038065368743932335,0.4256826711396292,-0.09181435378333433,0.07851486046536997,1.0,,,,,,,,,0.40310209707209604,,,,0.12587694671119204,0.17181212199012996,-0.009830846135445962,0.11520383375851065,-0.08804548422305462,0.0681237468240595,-0.023257539933248885,-0.15556145949929243,0.15654649754924815,0.007627936217721096,-0.07866535872984784,0.06643622459533101,0.06888131864491923,-0.1434763323320342,0.13075231833145934,,,,0.04289018020910524,0.00192976317457884,-0.02497632413779012,-0.03655644659676548,,0.41812434202677,0.4229706509189942,0.4267009867178447,0.4187298783520856,-0.24377876809707363,-0.24763842923980633,-0.23447199395187793,-0.34379122907270393,-0.33695518433503013,-0.3435695854759315,0.0734605847401601,0.12587694743679761,0.08163751040859606,0.09966595486848487,0.10011193636544961,0.0996673501300726,0.1001120917530526,0.09968775003161578,0.1001120917530526,0.09967648377071933,0.1001120917530526,0.1024008451303813,0.08395137396928432,-0.008509556511102358,,,0.025481754109138808,-0.11636373437705948,-0.12574494050706472,0.41968493239999305
P_SEMI_MAJOR_AXIS_ERROR_MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_SEMI_MAJOR_AXIS_ERROR_MAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_ECCENTRICITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_ECCENTRICITY_ERROR_MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_ECCENTRICITY_ERROR_MAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_INCLINATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_INCLINATION_ERROR_MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
